,Year,Rated,Runtime,Genre,Awards,imdbRating,imdbVotes,DVD,studio_size,meta_class
2190,2012,PG-13,111,Drama,Other Win,6.8,57430,1,big,0
2191,2012,PG,87,Animation,Oscar Win,6.9,92289,1,big,1
2192,2012,PG-13,101,Drama,Other Win,5.6,67759,1,big,0
2193,2012,PG-13,102,Comedy,Other Win,5.9,184,1,small,0
2194,2012,Not Rated,101,Action,Other Win,5.2,490,1,small,0
2195,2012,R,82,Horror,,6.1,43119,1,small,0
2197,2012,PG,89,Romance,,5.5,658,1,small,0
2199,2012,Not Rated,113,Drama,Other Win,5.3,1033,1,small,0
2207,2012,PG-13,93,Action,Other Win,5.4,71024,1,small,0
2209,2012,Not Rated,97,Crime,,5.5,1227,0,small,0
2210,2012,PG,127,Adventure,Oscar Win,7.9,551704,1,big,1
2211,2012,PG-13,88,Drama,Other Win,5.4,867,1,small,0
2212,2012,PG,121,Drama,Other Win,6.4,6006,1,big,0
2213,2012,PG-13,112,Comedy,Other Win,7.2,263773,1,small,1
2216,2012,TV-PG,108,Comedy,,6.6,200,0,small,0
2219,2012,R,95,Comedy,,6.5,51420,1,big,0
2223,2012,R,97,Drama,Other Win,5.5,4457,1,big,0
2232,2012,Not Rated,81,Comedy,Other Win,6.8,551,0,small,1
2235,2012,R,112,Drama,Other Win,6.0,4159,1,small,1
2236,2012,TV-14,104,Comedy,Other Win,5.6,474,0,small,1
2242,2012,PG-13,150,Biography,Oscar Win,7.3,233363,1,small,1
2250,2012,PG,97,Animation,Other Win,7.3,149768,1,small,0
2251,2012,PG,105,Action,Nomination,6.4,82920,1,small,0
2255,2012,Not Rated,84,Drama,,5.9,470,1,small,0
2256,2012,Not Rated,88,Drama,Nomination,4.8,174,0,small,1
2258,2012,Not Rated,96,Comedy,Other Win,7.2,2929,1,big,0
2262,2012,Not Rated,106,Comedy,,4.7,429,1,small,0
2263,2012,R,107,Crime,,6.5,542,1,small,0
2266,2012,PG-13,111,Drama,Nomination,5.4,6519,1,small,0
2267,2012,R,95,Comedy,Nomination,3.4,8191,1,small,0
2270,2012,Not Rated,72,Comedy,Nomination,6.7,149,0,small,1
2273,2012,R,138,Drama,Oscar Win,7.3,309917,1,big,1
2275,2012,PG-13,99,Drama,Other Win,7.0,3103,1,small,0
2276,2012,Not Rated,93,Horror,Nomination,5.7,34134,1,big,0
2280,2012,PG-13,101,Action,Nomination,5.1,31359,1,small,0
2282,2012,R,88,Horror,Other Win,4.6,59818,1,big,0
2289,2012,PG,91,Fantasy,Nomination,6.8,7693,1,big,0
2290,2012,Not Rated,72,Comedy,,4.6,295,0,big,0
2291,2012,TV-14,90,Drama,Other Win,5.8,1255,1,small,0
2292,2012,PG-13,89,Comedy,,6.4,8872,0,big,0
2295,2012,Not Rated,91,Drama,Other Win,6.5,1031,1,big,0
2296,2012,Not Rated,112,Drama,Other Win,4.5,1150,1,small,0
2298,2012,PG-13,143,Action,Oscar Win,7.7,604988,1,small,1
2301,2012,R,95,Horror,Nomination,5.0,58153,1,big,0
2302,2012,R,95,Action,Nomination,5.4,59010,1,small,0
2303,2012,PG,116,Biography,,7.2,29595,1,big,0
2304,2012,PG-13,86,Adventure,,5.4,13192,1,big,0
2306,2012,R,88,Comedy,Nomination,6.2,1618,1,small,0
2320,2012,PG-13,98,Biography,Oscar Win,6.8,69341,1,small,0
2321,2012,PG,101,Animation,Oscar Win,7.7,358635,1,big,1
2323,2012,Not Rated,93,Thriller,,3.7,1588,1,small,0
2329,2012,Not Rated,79,Drama,Other Win,6.4,446,0,small,1
2332,2018,Not Rated,103,Crime,Other Win,7.3,17598,0,big,1
2336,2012,Not Rated,83,Crime,,5.1,3204,1,big,0
2341,2012,PG-13,115,Adventure,Other Win,5.5,219911,1,small,0
2342,2012,Not Rated,105,Drama,Other Win,5.3,1295,1,small,0
2343,2012,R,92,Action,Nomination,5.7,45691,1,big,0
2344,2012,R,83,Thriller,,5.0,513,1,small,0
2346,2012,R,86,Comedy,Nomination,4.8,4746,1,small,0
2347,2012,R,85,Animation,Other Win,5.9,3360,1,small,1
2349,2012,R,73,Biography,Nomination,4.3,1228,1,small,0
2356,2012,Not Rated,88,Drama,,5.2,1524,1,small,0
2358,2012,PG-13,169,Adventure,Oscar Win,7.8,732048,1,small,0
2360,2012,R,94,Comedy,,5.2,7213,1,small,0
2363,2012,R,106,Drama,Other Win,6.6,35182,1,big,0
2368,2012,PG-13,105,Comedy,Nomination,5.7,27768,1,small,0
2369,2012,PG-13,158,Drama,Oscar Win,7.6,293844,1,big,1
2375,2012,PG-13,130,Action,Other Win,7.0,292877,1,big,0
2376,2012,R,157,Drama,Oscar Win,7.4,258006,1,small,1
2379,2012,R,165,Drama,Oscar Win,8.4,1260758,1,small,1
2384,2012,Not Rated,136,Animation,Other Win,7.2,110,0,small,1
2390,2012,PG-13,95,Comedy,Nomination,5.7,34193,1,big,0
2391,2012,R,134,Comedy,Other Win,6.2,121164,1,big,0
2393,2012,PG,105,Comedy,Other Win,6.0,24134,1,big,0
2441,2013,PG-13,115,Crime,Other Win,7.3,567119,1,big,0
2456,2013,R,94,Comedy,Other Win,4.3,95674,1,big,0
2461,2013,R,113,Action,Nomination,6.7,199430,1,small,0
2463,2013,R,86,Comedy,Other Win,5.0,41472,1,big,0
2464,2013,R,107,Action,Other Win,6.3,128541,1,big,0
2472,2013,PG-13,98,Comedy,Other Win,6.9,212223,1,big,0
2474,2013,R,88,Action,Other Win,6.1,187172,1,small,0
2476,2013,R,99,Comedy,Nomination,5.7,664,0,small,0
2477,2013,R,109,Action,Other Win,6.2,72884,1,big,0
2478,2013,R,104,Biography,Other Win,6.5,33401,1,big,1
2479,2013,R,95,Comedy,Other Win,7.1,137170,1,small,1
2480,2013,Not Rated,95,Drama,Other Win,6.0,8270,1,small,0
2481,2013,R,118,Action,Nomination,6.2,108061,1,small,0
2483,2013,PG-13,97,Comedy,Nomination,6.3,18326,1,big,0
2484,2013,R,107,Drama,Other Win,6.4,988,1,small,1
2485,2013,Not Rated,90,Drama,Other Win,5.1,8830,1,small,0
2486,2013,R,87,Comedy,Other Win,5.9,332,1,small,1
2487,2013,R,90,Comedy,Other Win,6.5,220748,1,big,1
2488,2013,R,105,Drama,Other Win,5.9,18852,1,small,1
2489,2013,Not Rated,93,Comedy,,5.9,255,0,small,1
2492,2013,PG-13,124,Drama,Nomination,6.1,81365,1,big,0
2493,2013,R,98,Drama,Nomination,6.4,13509,1,small,0
2494,2013,R,93,Biography,Other Win,6.0,5302,1,big,1
2495,2013,Not Rated,89,Drama,Other Win,5.6,882,1,small,1
2496,2013,R,95,Adventure,Other Win,7.1,74641,1,small,1
2498,2013,R,98,Drama,Nomination,5.6,13524,1,small,0
2499,2015,PG-13,123,Biography,Other Win,7.1,80596,1,big,0
2500,2013,Not Rated,82,Drama,Other Win,5.5,2002,1,small,1
2501,2013,Not Rated,73,Comedy,Other Win,6.5,349,0,small,0
2502,2013,R,85,Biography,Other Win,7.5,70174,1,big,1
2503,2013,Not Rated,60,Drama,Nomination,5.1,2254,0,small,0
2504,2013,R,89,Drama,Nomination,5.3,3382,1,big,0
2505,2013,R,96,Horror,Other Win,6.0,34379,1,small,0
2506,2013,R,88,Comedy,Other Win,5.6,3431,1,small,0
2507,2013,R,99,Drama,Other Win,6.8,99385,1,small,0
2508,2013,R,83,Drama,Other Win,6.5,853,1,small,1
2509,2013,PG-13,116,Adventure,Other Win,6.8,47403,1,small,1
2511,2013,Not Rated,96,Comedy,Nomination,3.7,646,1,big,0
2512,2013,Not Rated,83,Comedy,Nomination,6.0,6539,1,big,0
2513,2013,R,94,Comedy,Other Win,6.4,18069,1,big,1
2514,2013,Not Rated,75,Drama,Other Win,4.7,4076,1,small,0
2515,2013,R,109,Drama,Oscar Win,7.9,127756,1,small,1
2516,2013,R,83,Comedy,,4.8,309,0,small,0
2517,2013,R,84,Comedy,,4.3,2075,1,small,0
2518,2013,R,93,Comedy,Other Win,6.7,29788,1,big,1
2519,2013,R,98,Comedy,,4.9,8611,1,small,0
2520,2013,R,96,Crime,Other Win,6.4,19757,1,big,1
2521,2013,R,103,Comedy,Nomination,6.4,25934,1,small,0
2522,2013,Not Rated,85,Adventure,,4.1,2061,1,big,0
2523,2013,PG-13,103,Comedy,Other Win,7.4,135060,1,small,1
2524,2013,Not Rated,92,Comedy,Other Win,6.3,4158,1,small,1
2525,2013,Not Rated,96,Drama,Other Win,6.7,29236,1,small,1
2526,2013,R,98,Comedy,Other Win,5.7,9147,1,small,0
2527,2013,R,97,Comedy,Nomination,4.9,859,1,small,0
2530,2013,R,93,Biography,Other Win,6.2,36940,1,small,0
2532,2013,R,97,Drama,Other Win,5.0,8775,1,big,0
2533,2013,R,91,Drama,,6.0,13716,1,small,0
2536,2013,R,90,Comedy,Other Win,6.1,54411,1,big,1
2537,2013,R,88,Action,Other Win,6.1,187172,1,small,0
2539,2013,R,88,Comedy,Nomination,5.6,12239,1,small,0
2540,2013,R,81,Drama,Nomination,5.8,1734,1,small,0
2541,2013,R,81,Drama,Nomination,5.2,6432,1,small,0
2544,2013,R,95,Thriller,Other Win,6.2,5544,1,small,0
2545,2013,R,108,Drama,Nomination,7.5,4960,1,big,1
2547,2013,PG-13,128,Biography,Nomination,5.9,90811,1,big,0
2548,2013,R,84,Horror,Other Win,5.3,7618,1,small,0
2554,2013,R,106,Crime,Nomination,7.1,171984,1,big,1
2559,2013,R,100,Drama,,5.3,15590,1,small,0
2563,2013,TV-14,83,Drama,Other Win,7.1,2373,1,small,0
2567,2013,R,98,Action,Other Win,5.3,192108,1,big,0
2568,2013,R,85,Action,,4.9,14146,1,small,0
2569,2013,R,111,Comedy,Other Win,5.7,118943,1,big,0
2571,2013,R,116,Crime,Other Win,5.8,10028,1,small,0
2574,2013,Not Rated,81,Drama,Other Win,6.0,1540,0,small,1
2578,2013,PG-13,115,Drama,Other Win,6.7,99610,1,big,0
2579,2013,Not Rated,101,Biography,,5.3,254,0,big,0
2581,2013,PG,130,Adventure,Other Win,6.3,194518,1,big,0
2584,2015,Not Rated,135,Drama,Other Win,6.1,39737,1,small,0
2587,2013,PG,98,Animation,Oscar Win,7.2,181623,1,big,0
2588,2013,PG,89,Animation,Other Win,5.9,23766,1,small,0
2597,2013,R,88,Action,Other Win,6.1,187172,1,small,0
2602,2013,PG-13,112,Action,Nomination,6.4,79930,1,small,0
2603,2013,PG-13,97,Horror,,6.3,67017,1,big,0
2604,2013,PG,93,Drama,Nomination,7.0,2877,0,small,0
2609,2013,R,99,Action,Other Win,6.1,30970,1,big,0
2611,2013,PG-13,101,Drama,,6.0,1333,1,small,0
2612,2013,R,98,Drama,,5.9,13038,1,small,0
2616,2013,R,100,Horror,Other Win,5.7,21589,1,small,0
2618,2013,PG-13,88,Horror,Other Win,4.0,15353,1,small,0
2619,2013,Not Rated,100,Drama,Other Win,6.2,454,1,small,1
2623,2013,Not Rated,73,Animation,Nomination,6.5,2755,0,small,0
2624,2017,R,94,Drama,,5.7,19185,1,small,0
2625,2013,PG-13,100,Drama,,5.7,8684,1,big,0
2633,2013,Not Rated,96,Comedy,Other Win,5.4,224,0,small,0
2635,2013,Not Rated,92,Adventure,,5.2,269,0,small,0
2644,2013,PG-13,80,Action,Other Win,5.3,6578,1,small,0
2647,2013,PG-13,100,Comedy,Other Win,5.9,68630,1,big,0
2648,2013,R,91,Fantasy,Other Win,6.5,150105,1,small,0
2649,2013,R,92,Comedy,Other Win,5.0,940,1,small,0
2651,2013,R,118,Action,,6.5,62142,1,small,0
2653,2013,Not Rated,88,Comedy,Other Win,6.7,16802,1,small,1
2656,2013,R,82,Drama,Nomination,6.5,9905,1,big,0
2657,2013,Not Rated,99,Drama,Other Win,5.0,255,1,small,0
2659,2013,Not Rated,90,Comedy,Nomination,4.5,3421,1,small,0
2661,2015,Not Rated,135,Drama,Other Win,6.1,39737,1,small,0
2664,2013,R,96,Drama,Nomination,4.7,523,1,small,0
2665,2013,PG,87,Comedy,,5.8,1914,0,big,0
2666,2013,PG-13,97,Drama,Nomination,6.4,27056,1,small,0
2667,2013,Not Rated,104,Drama,Other Win,6.4,3857,1,small,0
2668,2013,R,85,Comedy,Other Win,5.6,6594,1,big,1
2670,2013,R,96,Drama,Other Win,8.0,76287,1,small,1
2674,2013,PG-13,110,Action,Other Win,5.8,167926,1,big,0
2676,2013,Not Rated,88,Thriller,Nomination,5.2,928,1,small,0
2677,2013,Not Rated,123,Crime,Nomination,6.3,471,1,small,0
2678,2013,Not Rated,86,Comedy,Other Win,6.2,2384,1,small,1
2679,2013,Not Rated,95,Comedy,Other Win,7.2,868,0,small,0
2680,2013,Not Rated,82,Comedy,Other Win,5.7,1011,0,big,1
2681,2013,R,92,Adventure,Other Win,6.6,2352,1,small,1
2690,2013,R,94,Crime,Other Win,6.7,106522,1,big,0
2693,2013,PG-13,111,Drama,Other Win,5.0,11145,1,big,0
2695,2013,Not Rated,93,Comedy,,4.6,214,1,big,0
2700,2013,R,119,Action,Other Win,6.5,245068,1,small,0
2706,2013,R,89,Action,Nomination,5.6,18612,1,small,0
2708,2013,PG-13,125,Action,Other Win,5.9,107369,1,big,0
2709,2013,R,83,Comedy,Nomination,2.8,4108,1,small,0
2710,2013,PG-13,107,Comedy,,5.7,32274,1,big,0
2716,2013,PG-13,124,Action,Nomination,7.0,465695,1,big,0
2724,2013,R,105,Comedy,,6.3,6451,1,small,0
2733,2013,R,91,Drama,Other Win,6.2,2838,1,small,0
2739,2013,Not Rated,95,Crime,Other Win,5.1,849,1,small,0
2745,2013,R,92,Action,,5.5,6571,1,small,0
2749,2013,PG-13,97,Comedy,Other Win,6.8,44925,1,small,0
2751,2013,PG,85,Animation,Other Win,6.5,8347,0,big,0
2753,2013,PG-13,128,Biography,Other Win,7.5,79660,1,big,1
2756,2013,Not Rated,108,Drama,,6.3,181,1,small,0
2762,2013,PG-13,86,Comedy,Nomination,3.5,62042,1,big,0
2763,2013,Not Rated,87,Action,Other Win,5.2,10195,1,small,0
2766,2013,R,129,Action,Nomination,6.4,192172,1,small,0
2767,2013,R,104,Action,,5.1,4557,1,big,0
2774,2013,PG,87,Comedy,Other Win,6.3,102,1,small,0
2779,2019,TV-MA,99,Mystery,,6.3,35902,0,small,0
2782,2015,Not Rated,96,Drama,Other Win,6.6,4162,0,small,1
2783,2013,R,107,Comedy,Nomination,5.6,5530,1,small,0
2784,2013,Not Rated,90,Drama,Other Win,5.8,810,0,small,1
2788,2013,R,84,Drama,Nomination,5.6,196,1,small,0
2792,2013,R,92,Comedy,Other Win,5.9,10235,1,big,0
2794,2013,Not Rated,90,Drama,Nomination,5.6,2755,1,small,1
2796,2013,R,90,Comedy,Other Win,6.3,8947,1,small,0
2798,2013,R,90,Comedy,,6.1,3146,1,small,0
2800,2013,PG-13,86,Adventure,Other Win,6.3,1958,1,small,1
2801,2013,R,89,Comedy,,5.6,10788,1,big,0
2802,2013,R,92,Action,Other Win,5.2,5515,1,big,0
2803,2013,Not Rated,84,Drama,,5.8,1623,1,small,0
2804,2013,Not Rated,90,Thriller,Nomination,4.9,338,1,small,0
2808,2013,R,98,Crime,,5.9,2304,1,big,0
2811,2013,R,89,Comedy,Nomination,5.6,45349,1,big,0
2813,2017,R,93,Action,,3.7,1813,1,small,0
2814,2013,PG-13,84,Comedy,Other Win,6.6,5148,1,small,0
2816,2013,R,93,Comedy,,5.8,11418,1,small,0
2821,2013,Not Rated,87,Drama,Other Win,5.7,143,0,small,0
2822,2013,Not Rated,95,Action,Other Win,4.9,11763,1,small,0
2823,2013,R,99,Comedy,Nomination,5.0,1736,1,big,0
2829,2013,Not Rated,80,Horror,Nomination,5.1,9753,1,small,1
2834,2013,PG,102,Animation,Other Win,6.7,96995,1,small,0
2835,2013,PG-13,143,Drama,Oscar Win,7.2,447374,1,big,0
2836,2013,PG-13,100,Action,Other Win,4.8,185333,1,big,0
2838,2013,PG-13,132,Action,Oscar Win,7.7,451599,1,small,1
2840,2013,R,85,Horror,Other Win,5.7,190367,1,big,0
2842,2013,R,116,Action,,3.8,544,1,small,0
2845,2013,Not Rated,89,Adventure,Other Win,5.4,3995,1,big,0
2847,2013,Not Rated,86,Comedy,,5.1,110,1,big,0
2852,2013,PG-13,130,Action,Other Win,7.1,354629,1,big,1
2855,2013,PG-13,95,Comedy,Nomination,5.3,4520,1,big,0
2861,2013,Not Rated,122,Animation,Other Win,6.5,16442,1,small,1
2862,2013,R,90,Biography,Other Win,5.6,78947,1,small,1
2863,2013,Not Rated,85,Action,Other Win,5.5,1790,1,small,0
2865,2013,R,99,Comedy,Other Win,6.5,7415,1,small,0
2866,2013,R,90,Crime,Other Win,7.1,61401,1,small,1
2870,2013,Not Rated,117,Biography,Nomination,6.1,2553,1,big,0
2872,2013,R,104,Comedy,Oscar Win,7.5,127904,1,small,1
2873,2013,PG,104,Drama,Other Win,7.8,44229,1,big,1
2875,2013,R,127,Action,,6.5,17965,1,big,0
2876,2013,R,110,Drama,Other Win,5.4,3647,1,small,0
2877,2013,R,100,Comedy,Other Win,5.8,279253,1,big,0
2882,2013,R,90,Action,Other Win,5.7,103119,1,small,0
2883,2013,Not Rated,81,Comedy,,3.3,657,1,small,0
2884,2013,PG-13,106,Adventure,Oscar Win,6.9,72869,1,small,1
2887,2013,Not Rated,83,Drama,,6.3,433,0,small,0
2888,2013,R,115,Adventure,Oscar Win,7.7,107637,1,big,1
2890,2013,R,120,Drama,Other Win,6.6,27815,1,big,1
2896,2013,Not Rated,102,Drama,Other Win,7.6,6177,1,small,1
2897,2013,PG-13,119,Comedy,Nomination,6.3,182971,1,big,0
2898,2013,PG-13,97,Comedy,Other Win,5.4,1872,1,big,0
2904,2013,TV-MA,91,Comedy,Other Win,4.8,547,0,small,0
2907,2013,PG-13,116,Action,Other Win,7.0,568603,1,big,1
2908,2013,R,107,Comedy,Other Win,6.6,368960,1,big,1
2914,2013,G,104,Animation,Other Win,7.3,302642,1,big,1
2922,2013,R,85,Comedy,,5.2,10699,1,small,0
2925,2013,TV-MA,89,Drama,Other Win,6.5,1381,1,small,1
2926,2013,R,112,Horror,Other Win,7.5,415003,1,big,1
2931,2013,PG-13,143,Action,Other Win,7.1,662551,1,big,0
2933,2013,PG,88,Animation,Other Win,5.1,5408,1,small,0
2934,2013,Not Rated,105,Drama,Other Win,6.2,192,1,small,0
2935,2013,R,81,Action,Nomination,5.6,7747,1,small,0
2942,2013,PG-13,90,Drama,Other Win,6.4,64485,1,big,1
2943,2013,Not Rated,99,Comedy,Other Win,5.5,6268,1,small,0
2948,2013,PG,98,Animation,Oscar Win,7.3,353728,1,big,1
2949,2018,R,152,Crime,Other Win,6.8,45986,1,big,0
2952,2013,PG-13,85,Comedy,,5.1,171,1,small,0
2954,2013,Not Rated,87,Comedy,Other Win,4.9,288,0,small,0
2959,2013,R,92,Comedy,,5.8,4998,1,small,0
2961,2013,PG-13,131,Action,Other Win,6.4,196772,1,big,0
2963,2013,PG-13,150,Action,Oscar Win,6.4,212944,1,big,0
2965,2013,PG-13,100,Drama,Nomination,6.9,5835,1,small,0
2968,2013,R,117,Action,Other Win,6.6,156729,1,big,0
2970,2013,Not Rated,87,Drama,,5.2,359,1,small,0
2975,2013,PG-13,120,Drama,Nomination,5.5,817,1,small,0
2977,2013,R,91,Action,,5.4,34476,1,small,0
2978,2013,R,96,Biography,,6.1,1777,1,big,0
2979,2013,Not Rated,111,Comedy,Nomination,6.8,11591,1,small,0
2981,2013,PG-13,131,Action,Other Win,6.9,451506,1,big,1
2989,2013,Not Rated,102,Drama,Other Win,6.3,428,1,small,1
2990,2013,Not Rated,107,Comedy,Nomination,6.4,958,1,small,0
2992,2013,R,105,Action,,6.1,33901,1,small,0
2993,2013,Not Rated,84,Horror,,4.1,762,1,small,0
2996,2013,R,107,Drama,Other Win,5.7,20443,1,small,0
2997,2013,Not Rated,84,Drama,Nomination,5.3,13641,1,big,0
3004,2013,R,109,Action,Other Win,7.0,244588,1,big,1
3005,2013,PG,96,Animation,Other Win,6.4,78015,1,small,0
3006,2013,R,105,Crime,Nomination,6.4,53493,1,small,0
3008,2013,PG-13,101,Comedy,Other Win,5.4,132325,1,big,0
3009,2013,R,112,Action,,5.9,10155,1,small,0
3010,2013,PG-13,110,Drama,,5.6,2953,1,small,0
3013,2015,R,125,Biography,Other Win,6.8,17538,1,big,1
3015,2013,Not Rated,88,Comedy,,5.5,1197,1,big,0
3020,2013,PG-13,126,Action,Other Win,6.7,412017,1,big,1
3021,2013,PG-13,96,Action,,5.6,112868,1,big,0
3023,2013,R,115,Action,Nomination,6.7,217586,1,big,0
3024,2013,PG-13,116,Action,Nomination,6.6,152603,1,big,0
3030,2013,PG-13,98,Drama,Oscar Win,7.3,183293,1,big,1
3033,2013,Not Rated,91,Drama,Other Win,6.7,428,0,small,1
3035,2013,R,104,Comedy,,5.8,35224,1,small,1
3036,2013,R,90,Drama,,5.3,675,1,small,0
3043,2013,PG,105,Animation,Nomination,5.3,35428,1,big,0
3044,2013,R,99,Drama,Other Win,3.8,9937,1,big,0
3045,2013,R,109,Action,Other Win,6.7,185722,1,big,0
3047,2013,R,99,Action,Other Win,6.0,19557,1,small,0
3051,2013,R,97,Horror,Other Win,5.6,31830,1,small,0
3052,2013,R,110,Comedy,Other Win,7.0,382356,1,big,0
3053,2013,Not Rated,77,Crime,,4.1,511,1,small,0
3055,2013,PG,91,Animation,Nomination,5.7,40696,1,big,0
3058,2013,R,109,Action,Other Win,6.6,404147,1,small,1
3060,2013,PG,106,Adventure,Other Win,5.8,105188,1,big,0
3061,2013,PG-13,86,Comedy,,5.0,3298,1,small,0
3062,2013,PG-13,106,Drama,Nomination,5.7,33778,1,big,0
3068,2013,Not Rated,81,Adventure,Nomination,6.0,111,0,small,0
3073,2013,PG-13,130,Action,Other Win,5.9,123957,1,big,0
3075,2013,R,94,Comedy,,3.6,2679,1,small,0
3076,2013,R,103,Action,Other Win,6.5,244437,1,big,0
3077,2013,R,102,Horror,Nomination,6.2,26410,1,small,0
3085,2013,R,87,Horror,Other Win,5.5,8513,1,small,1
3090,2013,PG-13,90,Action,Nomination,4.4,22548,1,big,0
3093,2013,R,119,Action,Nomination,6.4,148319,1,small,0
3094,2013,PG-13,91,Drama,Oscar Win,7.7,733274,1,big,1
3095,2013,R,96,Crime,,6.2,20744,1,big,0
3096,2013,R,108,Drama,Other Win,6.3,118608,1,small,1
3097,2013,R,100,Drama,Nomination,6.2,25931,1,small,1
3099,2013,R,153,Crime,Oscar Win,8.1,549157,1,small,1
3100,2013,PG-13,111,Drama,Nomination,6.9,40371,1,big,0
3101,2013,R,134,Biography,Oscar Win,8.1,597190,1,small,1
3102,2013,R,117,Crime,Other Win,6.9,43840,1,big,1
3104,2013,R,104,Crime,Other Win,5.5,3755,1,small,0
3105,2013,R,112,Drama,Other Win,6.0,13448,1,small,1
3106,2013,PG-13,98,Biography,Oscar Win,7.6,90174,1,big,1
3108,2013,Not Rated,75,Drama,Nomination,5.4,294,1,small,1
3113,2013,PG-13,93,Drama,Nomination,6.3,14401,1,small,0
3116,2013,R,123,Biography,Other Win,8.1,407118,1,big,1
3117,2013,R,107,Comedy,Other Win,6.1,43144,1,small,0
3118,2013,R,99,Horror,Other Win,6.1,15933,1,small,0
3119,2013,Not Rated,97,Drama,Other Win,6.4,334,0,small,1
3120,2013,R,85,Drama,Other Win,7.1,125514,1,small,1
3125,2013,R,128,Biography,Other Win,6.2,37229,1,big,0
3128,2013,Not Rated,89,Comedy,Nomination,5.1,7784,1,small,0
3130,2015,R,82,Action,,4.1,9002,1,small,0
3132,2013,R,120,Crime,Other Win,6.5,72224,1,small,0
3134,2013,PG,105,Drama,,5.8,1051,1,small,0
3136,2013,R,97,Drama,Nomination,6.1,2916,1,big,1
3137,2013,R,111,Drama,Other Win,6.7,346,1,small,0
3138,2013,R,89,Comedy,Other Win,6.6,44814,1,big,0
3139,2013,R,81,Thriller,,2.8,268,1,small,0
3141,2013,R,94,Biography,,5.7,1898,1,small,0
3142,2013,R,107,Crime,Nomination,6.1,7239,1,big,0
3143,2013,R,117,Biography,Oscar Win,8.0,414299,1,big,1
3144,2013,R,114,Comedy,,5.3,14460,1,small,0
3145,2013,R,104,Comedy,Oscar Win,7.4,133587,1,big,1
3147,2013,R,90,Comedy,Other Win,6.2,22851,1,small,0
3148,2013,PG-13,111,Comedy,Nomination,6.6,9514,1,big,0
3149,2013,PG-13,93,Comedy,Other Win,7.0,56626,1,small,1
3150,2013,R,118,Biography,Other Win,5.7,5902,1,small,1
3151,2013,R,104,Drama,,6.1,6188,1,big,0
3153,2013,Not Rated,92,Crime,Other Win,5.5,1962,1,small,1
3154,2013,Not Rated,60,Drama,Other Win,6.3,128,0,small,1
3155,2013,Not Rated,114,Biography,Nomination,6.1,19264,1,small,0
3156,2013,Not Rated,116,Crime,Other Win,6.2,899,1,small,1
3158,2013,R,104,Horror,Other Win,6.5,110159,1,big,1
3159,2013,R,100,Adventure,Other Win,5.3,34746,1,small,0
3160,2013,PG-13,103,Biography,Other Win,6.8,10966,0,big,0
3161,2013,R,121,Comedy,Oscar Win,7.2,81281,1,big,0
3162,2013,R,89,Drama,Other Win,6.9,8696,0,small,1
3163,2013,R,93,Music,Other Win,7.2,15965,1,small,1
3164,2013,R,96,Crime,,4.7,1424,1,small,0
3165,2013,R,85,Horror,Other Win,6.3,20673,1,small,0
3166,2013,R,137,Drama,Other Win,6.4,25480,1,big,0
3167,2013,R,100,Drama,Other Win,6.9,8090,0,small,1
3168,2013,Not Rated,120,Drama,Nomination,5.7,3705,1,small,0
3171,2013,TV-MA,105,Crime,Nomination,6.1,4659,1,big,0
3172,2013,R,90,Comedy,Nomination,6.3,22469,1,small,0
3174,2013,Not Rated,114,Action,,3.3,3123,1,small,0
3175,2013,PG-13,92,Drama,Nomination,6.2,4881,1,big,0
3180,2013,PG-13,106,Horror,Nomination,6.6,146722,1,small,0
3182,2013,Not Rated,72,Drama,Nomination,5.5,183,0,small,0
3185,2013,R,98,Comedy,,5.8,16308,1,small,0
3186,2013,R,100,Drama,Other Win,5.3,1653,1,small,0
3188,2013,R,97,Comedy,Other Win,7.1,96291,1,small,0
3194,2013,R,88,Crime,Nomination,5.6,59013,1,big,0
3195,2013,PG-13,110,Drama,Nomination,5.0,8858,1,big,0
3196,2013,R,107,Action,Nomination,5.6,71678,1,small,0
3198,2013,Not Rated,89,Horror,Other Win,7.2,94772,1,small,1
3200,2013,R,90,Music,Other Win,5.9,16629,1,small,1
3206,2013,R,90,Crime,Nomination,5.7,8436,1,small,0
3214,2013,R,86,Action,Nomination,5.6,18564,1,small,0
3216,2013,R,100,Horror,,4.4,4679,1,small,0
3217,2013,PG,95,Animation,Nomination,6.4,84358,1,big,0
3218,2013,PG-13,96,Comedy,Nomination,5.1,8469,1,small,0
3219,2013,Not Rated,98,Comedy,,5.6,179,1,small,0
3220,2013,PG-13,91,Comedy,,5.1,580,1,small,0
3221,2013,PG-13,134,Biography,Oscar Win,7.8,397978,1,big,1
3224,2013,R,100,Comedy,Other Win,4.6,308,1,small,0
3225,2015,R,105,Comedy,Nomination,6.2,6140,0,small,0
3227,2013,R,84,Horror,Nomination,4.5,9032,1,small,0
3232,2013,Not Rated,90,Drama,Other Win,6.0,1122,0,small,0
3241,2015,R,128,Documentary,Oscar Win,7.8,45524,1,small,1
3243,2013,PG-13,131,Drama,Oscar Win,7.6,121631,1,big,0
3245,2013,R,117,Crime,Other Win,5.3,93573,1,small,0
3249,2013,PG,102,Drama,Other Win,6.1,3085,1,big,0
3250,2013,PG,114,Comedy,Other Win,7.3,281973,1,big,0
3254,2013,R,97,Comedy,Nomination,6.1,16268,1,big,1
3257,2013,R,102,Drama,,6.6,8384,1,small,0
